,Alemão,Português
176,leute,Pessoas
177,vater,pai
178,schön,bonito
179,glaube,fé
180,mr.,senhor.
181,ab,a partir de
182,gerade,direto
183,tag,marcação
184,gesehen,visto
185,reden,razão
186,wohl,Nós vamos
187,liebe,amar
188,sollte,deve
189,sagte,disse
190,unsere,nosso
191,jemand,alguém
192,geld,dinheiro
193,durch,de
194,ob,a
195,keinen,não
196,mutter,mãe
197,raus,Fora
198,gemacht,fez
199,paar,par
200,mach,mach
201,passiert,acontece
202,dachte,pensamento
203,besser,Melhor
204,musst,deve
205,wieso,como assim
206,sir,Senhor
207,dieses,esta
208,selbst,auto
209,gehört,pertence
210,möchte,gostaria de
211,ohne,sem
212,hör,ouvir
213,her,sua
214,sag,caso
215,meiner,minha
216,anderen,outro
217,helfen,ajuda
218,nacht,noite
219,finden,Achar
220,diesen,esta
221,gute,qualidade
222,wirst,vontade
223,lange,Longo
224,natürlich,Naturalmente
225,ach,mas
226,meinem,minha
227,gar,de forma alguma
228,ins,no
229,sei,estar
230,dort,Lá
231,weiter,Prosseguir
232,geben,dar
233,seit,Desde a
234,gleich,igual
235,sagt,diz
236,recht,Lei
237,ihren,deles
238,richtig,direita
239,ordnung,ordem
240,vom,a partir de
241,hören,Ouço
242,sieht,visual
243,davon,a partir desse
244,dafür,por esta
245,geh,vai
246,diesem,esta
247,wegen,por causa de
248,hause,casa
249,sollten,deve
250,mädchen,garota
251,hin,baixa
252,sollen,deve
253,abend,véspera
254,haus,casa
255,denke,acho
256,viele,grande quantidade
257,drei,três
258,deinen,seu
259,freund,amigo
260,guten,Boa
261,unser,nosso
262,warte,valor
263,machst,fazendo
264,menschen,Pessoas
265,essen,comer
266,angst,temer
267,bleiben,ficar
268,zusammen,juntos
269,welt,mundo
270,unter,sob
271,habt,ter
272,schnell,velozes
273,andere,Outros
274,tot,até
275,getan,feito
276,darf,maio
277,erst,primeiro
278,rein,puramente
279,stimmt,Direita
280,nehmen,pegar
281,kinder,crianças
282,eines,1
283,glauben,acreditam
284,bringen,trazer
285,ganze,inteira
286,genug,o suficiente
287,scheiße,porcaria
288,brauchen,necessidade
289,gegen,contra
290,moment,momento
291,junge,Garoto
292,steht,fica
293,sonst,de outra forma
294,musik,música
295,arbeit,trabalho
296,seid,estamos
297,ihrer,deles
298,fragen,perguntar
299,herr,Senhor
300,dabei,lá
301,heißt,chamado
302,familie,família
303,warten,espera
304,niemand,ninguém
305,sofort,imediatamente
306,bevor,antes
307,jahre,anos
308,einmal,uma vez
309,problem,problema
310,sohn,filho
311,wann,quando
312,brauche,necessidade
313,fertig,finalizado
314,halt,Pare
315,allein,sozinho
316,beim,no
317,sprechen,falar
318,beide,Ambas
319,gefunden,encontrado
320,hatten,tive
321,sache,Coisa
322,hilfe,Ajuda
323,verdammt,condenado
324,ne,nascermos
325,jeder,todo o mundo
326,warst,estavam
327,gern,alegremente
328,konnte,poderia
329,darüber,sobre isso
330,halten,segurar
331,siehst,Vejo
332,verstehe,Compreendo
333,jahren,anos
334,kam,veio
335,kind,Gentil
336,wusste,sabia
337,wahr,verdade
338,seinen,seu
339,dazu,para
340,bruder,irmãos
341,daran,isto
342,ihrem,deles
343,denken,pensar
344,könnten,poderia
345,dank,obrigado
346,würden,seria
347,lieber,querido
348,fall,outono
349,deiner,Sua
350,sehe,Vejo
351,egal,não importa
352,kennen,conhecer
353,deinem,seu
354,vergessen,esquecer
355,frage,pergunta
356,mache,faço
357,komme,vir
358,sage,sábio
359,mag,para
360,sieh,olhar
361,echt,sério
362,gib,dar
363,eigentlich,na realidade
364,jeden,cada
365,dad,Papai
366,gab,deram
367,uhr,Relógio
368,stadt,cidade
369,männer,Homens
370,baby,bebê
371,fahren,dirigir
372,namen,nomes
373,bekommen,para obter
374,kopf,cabeça
375,hi,Oi
376,gehe,vai
377,kleine,pequena
378,später,mais tarde
379,glück,felicidade
380,letzte,Mais recentes
381,freunde,amigos
382,n,n
383,all,todo
384,darauf,nisso
385,ende,O fim
386,dr.,dr.
387,bald,em breve
388,töten,mate
389,dinge,as coisas
390,meinst,significar
391,toll,pedágio
392,eins,gostar
393,minuten,minutos
394,vielen,um monte de
395,bereit,pronto
396,weit,longe
397,ahnung,ideia
398,seiner,seu
399,bisschen,pouco
400,tür,Gentil
401,auto,auto
402,jungs,caras
403,eure,seu
404,augen,olhos
405,polizei,polícia
406,stehen,ficar
407,sterben,morrer
408,hätten,tive
409,draußen,fora
410,kenne,conhecer
411,fast,velozes
412,runter,baixa
413,vorbei,passado
414,treffen,encontrar
415,gerne,com prazer
416,dran,sintonizado
417,wurden,estavam
418,arbeiten,trabalhar
419,mom,mamãe
420,verrückt,louco
421,neue,novo
422,ging,foi
423,hinter,Atras do
424,sorgen,importar-se
425,einzige,apenas um
426,jemanden,alguém
427,darum,Portanto
428,tochter,filha
429,braucht,necessidade
430,idee,Ideias
431,schwester,irmã
432,drin,iniciar
433,ruhig,calma
434,sah,Serra
435,ganzen,todo
436,spät,atrasado
437,ziemlich,bastante
438,solltest,deve
439,name,nome
440,sogar,até
441,kurz,baixo
442,kerl,Cara
443,frauen,mulheres
444,liegt,mentiras
445,suchen,procurar
446,finde,achar
447,je,isto é
448,woher,de onde
449,lang,só
450,job,trabalho
451,keiner,Nenhum
452,seinem,seu
453,hört,ouvi
454,verstehen,Compreendo
455,spielen,Toque
456,s.,s.
457,überhaupt,de forma alguma
458,teufel,diabo
459,verstanden,entendido
460,verloren,perdido
461,große,Tamanho
462,hand,mão
463,grund,razão
464,jahr,ano
465,kommst,chegando
466,mama,mamãe
467,ruhe,Quieto
468,gewesen,fui
469,tod,morte
470,stunden,horas
471,hoffe,ter esperança
472,denkst,acho
473,oben,acima
474,gestern,ontem
475,versuchen,tentar
476,art,arte
477,letzten,último
478,schatz,Tesouro
479,endlich,Finalmente
480,he,ele
481,nimm,levar
482,etwa,aproximadamente
483,erzählt,diz
484,läuft,correndo
485,schwer,pesado
486,anders,diferente
487,miss,senhorita
488,musste,tive
489,fünf,cinco
490,wasser,agua
491,lässt,folhas
492,erste,primeiro
493,versucht,tentativas
494,gekommen,veio
495,geschichte,história
496,wenig,pouco
497,holen,buscar
498,bedeutet,meios
499,nett,conectados
500,wahrheit,verdade
501,woche,semana
502,bringt,traz
503,deshalb,Portanto
504,welche,Que
505,bestimmt,certamente
506,hoch,Alto
507,alter,Idade
508,sagst,dizer
509,schau,mostrar
510,ah,de
511,land,terra
512,zimmer,quarto
513,wagen,ousar
514,vier,quatro
515,gefallen,gostar
516,spaß,Diversão
517,niemals,De jeito nenhum
518,schuld,falta
519,getötet,assassinado
520,wollten,queria
521,verlassen,sair
522,zeigen,demonstrar
523,beste,outro
524,ernst,sério
525,unserer,nosso
526,denen,para aqueles
527,ort,"Lugar, colocar"
528,bleibt,permanece
529,würdest,seria
530,manchmal,as vezes
531,glaubst,acho
532,seite,página
533,lasst,folhas
534,zwischen,entre
535,eben,apenas
536,während,enquanto
537,spiel,jogos
538,nehme,levar
539,ersten,primeiro
540,guter,bens
541,chance,chance
542,freundin,Namorada
543,krieg,guerra
544,gefällt,gostar
545,kleinen,pequena
546,erzählen,contar
547,anderes,outro
548,tage,dias
549,entschuldigen,desculpar-se
550,wichtig,importante
551,gehst,indo
552,allen,todo
553,bett,cama
554,mrs.,Sra.
555,sachen,coisa
556,the,a
557,schlecht,mau
558,schule,escola
559,entschuldigung,Com licença
560,wort,palavra
561,john,John
562,hättest,tive
563,wären,seria
564,typ,modelo
565,schlafen,dorme
566,äh,hum
567,tu,vocês
568,euer,seu
569,captain,capitão
570,gesicht,cara
571,falls,quedas
572,neuen,novo
573,bloß,apenas
574,unten,abaixo de
575,teil,papel
576,beiden,Ambas
577,mensch,humano
578,kleiner,menor
579,stellen,por
580,oft,muitas vezes
581,sorge,preocupação
582,gedacht,pensamento
583,tust,Faz
584,trinken,bebida
585,einige,alguns
586,dies,esta
587,ding,coisa
588,unseren,nosso
589,kriegen,Obtivermos
590,blut,sangue
591,ehrlich,honesto
592,eltern,pais
593,scheint,parece
594,herz,coração
595,jack,Jack
596,glücklich,feliz
597,alte,outro
598,alt,tudo
599,bleib,permanente
600,wiedersehen,encontrar de novo
601,frei,gratuitamente
602,wen,wen
603,drauf,isto
604,möglich,possível
605,irgendwie,de alguma forma
606,reicht,o suficiente
607,fest,firmemente
608,besten,melhor
609,waffe,arma
610,kaum,por muito pouco
611,irgendwas,nada
612,klingt,sons
613,platz,"Lugar, colocar"
614,brauchst,necessidade
615,rede,rede
616,papa,Papa
617,falsch,incorreto
618,sondern,em vez
619,alten,velho
620,nummer,nummer
621,früher,mais cedo
622,jungen,Rapazes
623,wohin,Onde
624,außer,exceto
625,früh,cedo
626,setzen,por
627,zuerst,primeiro
628,wahrscheinlich,provavelmente
629,dürfen,permitido
630,jede,cada
631,arsch,bunda
632,telefon,Telefone
633,tue,seu
634,kennst,conhecer
635,willkommen,receber
636,plan,plano
637,großen,imenso
638,retten,quadra
639,hierher,aqui
640,wär,seria
641,bring,trazer
642,fehler,erro
643,wollt,quer
644,dollar,dólar
645,zehn,dez
646,allem,todo
647,pass,passar
648,nächste,Próximo
649,stunde,hora
650,hände,mãos
651,gegeben,dado
652,menge,quantidade
653,langsam,devagar
654,bereits,já
655,wartet,espera
656,sechs,seis
657,lieben,amar
658,meines,minha
659,büro,escritório
660,nächsten,Próximo
661,gebe,dar
662,wochen,semanas
663,ruf,chamar
664,schaffen,Criar
665,leider,Infelizmente
666,scheiß,merda
667,hölle,inferno
668,trotzdem,no entanto
669,doktor,doutora
670,tja,lá
671,new,novo
672,voll,completo
673,film,filme
674,überall,por toda parte
675,hund,cão
676,geworden,tornar-se
677,direkt,diretamente
678,wolltest,procurado
679,tat,de
680,denkt,acho
681,schiff,enviar
682,neues,novo
683,wem,MAE
684,könig,Rei
685,danach,depois disso
686,funktioniert,está funcionando
687,hattest,tive
688,lernen,aprender
689,deswegen,Portanto
690,wow,Uau
691,nennen,chamar
692,hm,hm
693,feuer,Fogo
694,laufen,para correr
695,alleine,sozinho
696,erinnern,lembrar
697,völlig,completamente
698,kleines,pequena
699,könnt,posso
700,stelle,estrelas
701,kumpel,Parceiro
702,verlieren,perder
703,probleme,problemas
704,spricht,fala
705,kaffee,café
706,luft,ar
707,fand,encontrado
708,i,eu
709,entschuldige,Com licença
710,ziehen,puxar
711,verschwinden,desaparecer
712,könntest,poderia
713,seht,olhar
714,aufhören,Pare
715,eigenen,ter
716,richtige,o certo
717,unserem,nosso
718,suche,procurar
719,zwar,Apesar
720,groß,ampla
721,hol,Onde
722,buch,livro
723,krank,doente
724,fühle,sentir
725,jedes,cada
726,verstehst,Compreendo
727,wert,valor
728,arzt,doutora
729,froh,Alegre
730,versuche,tentativas
731,straße,rua
732,rufen,chamar
733,heiraten,casar
734,super,super
735,sam,ele mesmo
736,lebt,vidas
737,gutes,Boa
738,lasse,sair
739,onkel,tio
740,total,total
741,gebracht,trouxeram
742,party,Festa
743,erklären,explicar
744,spielt,tocam
745,wahl,escolha
746,vertrauen,Confiar em
747,damals,naquela época
748,tagen,Conheçer
749,leicht,claro
750,nachdem,depois disto
751,gegangen,foi
752,gefühl,sentindo-me
753,kaufen,comprar
754,geschafft,fez
755,typen,Gentil
756,interessiert,Interessado
757,möchten,quer
758,halte,acho
759,hält,mantém
760,glaub,acho
761,irgendwo,em algum lugar
762,stück,peça
763,genauso,bem desse jeito
764,kennt,sabe
765,genommen,tomou
766,zukunft,futuro
767,weniger,Menos
768,cool,legal
769,licht,claro
770,getroffen,conheceu
771,himmel,céu
772,nachricht,mensagem
773,drüben,bem ali
774,passt,ajuste
775,sagten,disse
776,kümmern,Para cuidar de
777,laut,de acordo com
778,vergiss,esquecer
779,angerufen,chamado
780,sitzen,sentar
781,daß,que
782,erde,terra
783,großer,maior
784,schlüssel,chave
785,rest,resto
786,passieren,acontecer
787,eher,em vez
788,gefragt,Perguntou
789,gefängnis,cadeia
790,opfer,Vítima
791,körper,corpo
792,solche,tal
793,mist,névoa
794,mr,senhor
795,findet,achados
796,schreiben,Escreva
797,böse,mal
798,gesprochen,falada
799,versuch,tentar
800,vorstellen,para apresentar
801,wovon,Sobre o que
802,sobald,assim que
803,nochmal,outra vez
804,herren,masculino
805,sex,sexo
806,waffen,armas
807,wohnung,plano
808,weh,dorido
809,heißen,ser chamado
810,krankenhaus,hospital
811,bringe,trazer
812,höre,ouvir
813,millionen,milhões
814,klasse,aula
815,hart,coração
816,worden,tornar-se
817,sinn,seu
818,außerdem,Além disso
819,verletzt,ferido
820,ändern,mudar
821,erfahren,Com experiência
822,tragen,carregar
823,wenigstens,pelo menos
824,vorsichtig,cuidadosamente
825,daddy,Papai
826,stolz,orgulhoso
827,stark,fortemente
828,fällt,quedas
829,möchtest,quer
830,leuten,pessoas
831,besonders,especialmente
832,schöne,encantador
833,schicken,enviar
834,person,pessoa
835,schätze,fortuna
836,solange,enquanto
837,länger,mais tempo
838,großartig,Excelente
839,lacht,risos
840,anrufen,chamar
841,stand,ficar
842,redest,falando sobre
843,fühlen,sentir
844,erwartet,esperado
845,boden,terra
846,boss,patrão
847,stimme,voz
848,glaubt,acredita
849,still,ainda
850,sicherheit,segurança
851,setz,traduzidos
852,ma,mamãe
853,mund,posso
854,kämpfen,lutar
855,wisst,conhecer
856,lachen,riso
857,hörst,ouvir
858,zeug,coisa
859,lustig,engraçado
860,umbringen,mate
861,sollst,Obediente
862,hasse,odiar
863,schlimm,mau
864,o,o
865,unglaublich,incrível
866,wärst,'d
867,laden,carregar
868,führen,liderar
869,gestorben,morreu
870,schauen,Assistir
871,meinung,opinião
872,lesen,leitura
873,mörder,assassino
874,frank,franco
875,ähm,hum
876,geschehen,feito
877,geschäft,o negócio
878,idiot,idiota
879,verzeihung,perdão
880,fliegen,voar
881,zeig,mostrar
882,team,equipe
883,general,em geral
884,mike,Mike
885,aufs,para
886,york,Iorque
887,vorher,anteriormente
888,schluss,O suficiente
889,schneller,mais rapidamente
890,liebt,O amor é
891,verdient,merecido
892,mögen,gostar
893,meisten,maioria
894,denk,acho
895,umgebracht,assassinado
896,perfekt,Perfeito
897,versprochen,prometido
898,handy,conveniente
899,hinten,atras do
900,monate,meses
901,erinnere,lembrar
902,acht,oito
903,arbeitet,está funcionando
904,fallen,caído
905,rufe,lavanderia
906,nötig,necessário
907,a,uma
908,mord,assassinato
909,heraus,Fora
910,tages,dia
911,unmöglich,impossível
912,liebling,querido
913,charlie,charlie
914,tatsächlich,na verdade
915,folgen,consequências
916,bitten,perguntar
917,behalten,manter
918,nähe,vizinhança
919,arbeite,trabalhando
920,joe,joe
921,verdammte,condenado
922,plötzlich,De repente
923,lebens,vida
924,hole,buraco
925,tisch,tabela
926,michael,Michael
927,hörte,ouvi
928,jemals,sempre
929,liegen,mentira
930,verkaufen,vender
931,gefährlich,perigoso
932,anfangen,começar
933,bekommt,fica
934,machte,fez
935,ha,ele tem
936,hotel,hotel
937,hilft,ajuda
938,werdet,vontade
939,meister,mestre
940,kampf,luta
941,antwort,responda
942,konnten,poderia
943,geschickt,inteligentemente
944,jedem,cada
945,obwohl,Apesar de
946,sieben,Sete
947,komisch,engraçado
948,gewinnen,ganhar
949,ihres,deles
950,bezahlt,pago
951,you,vocês
952,voller,cheio de
953,unterwegs,na estrada
954,dumm,estúpido
955,ärger,dificuldade
956,bild,imagem
957,george,george
958,neu,Novo
959,bezahlen,pagar
960,dagegen,por outro lado
961,seien,estamos
962,starb,morreu
963,tom,Tom
964,monaten,meses
965,leiche,cadáver
966,niemanden,qualquer um
967,auge,olho
968,arschloch,Idiota
969,verheiratet,casado
970,peter,Pedro
971,zieh,puxar
972,nimmt,leva
973,gerettet,resgatado
974,agent,agente
975,traum,Sonhe
976,entscheidung,decisão
977,schlimmer,pior
978,regeln,regular
979,fenster,janela
980,fangen,pegar
981,fort,forte
982,ständig,constantemente
983,findest,achar
984,gefahr,perigo
985,absolut,absolutamente
986,mary,Mary
987,augenblick,momento
988,bescheid,decisão
989,rum,quarto
990,gedanken,pensamentos
991,werd,tornou-se
992,ziel,alvo
993,benutzt,usava
994,bewegung,Jogada
995,jemandem,alguém
996,wünschte,desejar
997,worte,Worte
998,kamen,veio
999,welcher,qual deles
1000,zahlen,números
1001,anfang,Começo
1002,legen,colocar
1003,erinnerst,lembrar
1004,anwalt,advogado
1005,fahr,dirigindo
1006,sitzt,sentado
1007,hilf,ajuda
1008,offen,abrir
1009,schönen,bonito
1010,monsieur,cavalheiro
1011,müsste,deve
1012,arme,armado
1013,bier,Cerveja
1014,fürs,pra
1015,partner,parceiro
1016,klein,pequena
1017,david,david
1018,klappe,aba
1019,süß,doce
1020,herum,por aí
1021,finger,dedo
1022,ehe,casado
1023,rolle,Função
1024,ließ,estava
1025,gleiche,mesmo
1026,monat,mês
1027,hochzeit,Casamento
1028,max,max
1029,führt,conduz
1030,paris,Paris
1031,wach,acordado
1032,wozu,Pelo que
1033,arm,braço
1034,geschrieben,escrito
1035,chef,chefe
1036,benutzen,usar
1037,informationen,em formação
1038,erledigt,feito
1039,hoffentlich,esperançosamente
1040,müsst,necessidade
1041,fühlt,sente
1042,tanzen,dançar
1043,ansehen,Olhe para a
1044,darfst,permitido
1045,zuhause,Em casa
1046,wunderbar,Maravilhoso
1047,hältst,segurar
1048,reise,viagem
1049,gewonnen,Ganhou
1050,dame,dama
1051,irgendwann,Às vezes
1052,chffffff,chffffff
1053,alex,alex
1054,steckt,conectado
1055,jedenfalls,em qualquer caso
1056,schreit,gritos
1057,tolle,surpreendente
1058,rüber,sobre
1059,tschüss,tchau
1060,nennt,é chamado
1061,raum,quarto
1062,heiß,quente
1063,foto,foto
1064,kalt,frio
1065,paul,Paulo
1066,irgendetwas,nada
1067,weile,Weile
1068,bisher,até aqui
1069,minute,minuto
1070,unbedingt,necessariamente
1071,zug,Comboio
1072,sekunden,segundos
1073,wofür,para que
1074,erzähl,contar
1075,nen,nen
1076,beweise,provas
1077,nahm,tomou
1078,aller,ir
1079,freut,satisfeito
1080,seele,alma
1081,schießen,atirar
1082,müde,cansado
1083,dauert,dura
1084,magst,gostar
1085,harry,atormentar
1086,brief,apresentação
1087,gelernt,aprendido
1088,sucht,investigada
1089,bekannt,conhecido
1090,weitere,Adicional
1091,unfall,acidente
1092,dahin,então
1093,kontrolle,ao controle
1094,beispiel,exemplo
1095,lady,Senhora
1096,dasselbe,a mesma coisa
1097,herzen,coração
1098,schlagen,bater
1099,wütend,nervoso
1100,weise,sábio
1101,damen,Senhoras
1102,darin,nisso
1103,gottes,Deus
1104,holt,Holt
1105,fehlt,está desaparecido
1106,vorsicht,Atenção
1107,heiße,nome é
1108,beweisen,provar
1109,gehabt,tive
1110,zumindest,pelo menos
1111,vermisst,ausência de
1112,hübsch,bonito
1113,kriegt,fica
1114,verbindung,conexão
1115,tief,profundo
1116,richtung,direção
1117,lage,localização
1118,sowieso,de qualquer forma
1119,kraft,força
1120,normal,normal
1121,lauf,corre
1122,ehre,honra
1123,stell,vício
1124,geschenk,Presente
1125,bar,Barra
1126,tasche,Bolsa
1127,gelesen,leitura
1128,gekauft,Comprou
1129,wussten,sabia
1130,gestohlen,roubado
1131,hunger,fome
1132,leg,perna
1133,lügen,deitado
1134,beziehung,relação
1135,ben,ben
1136,verschwunden,desaparecido
1137,steh,ficar
1138,nächstes,Próximo
1139,gearbeitet,trabalhado
1140,preis,preço
1141,witz,Piada
1142,meinte,disse
1143,liste,listando
1144,geist,fantasma
1145,neben,Próximo
1146,gesucht,procurou
1147,firma,Companhia
1148,süße,doce
1149,rücken,jogada
1150,schrecklich,terrível
1151,letzter,último
1152,verliebt,apaixonado
1153,öffnen,abrir
1154,redet,negociações
1155,boot,Bota
1156,seltsam,estranho
1157,versteckt,escondido
1158,fürchte,temer
1159,verschwinde,desaparecer
1160,erwischt,Apanhado
1161,verkauft,vendido
1162,tante,tiazinha
1163,erwarten,Espero
1164,pferd,cavalo
1165,wunder,maravilha
1166,sauer,nervoso
1167,vermutlich,presumivelmente
1168,näher,mais próximo
1169,major,principal
1170,jung,jovem
1171,majestät,majestade
1172,aussehen,olhar
1173,ans,anos
1174,de,de
1175,and,e
1176,links,ligações
1177,großes,excelente
1178,welches,que
1179,beschützen,proteger
1180,geboren,nascermos
1181,erreichen,alcançar
1182,punkt,Ponto
1183,kindern,crianças
1184,kirche,Igreja
1185,verraten,trair
1186,selber,ele mesmo
1187,befehl,comando
1188,colonel,coronel
1189,fährt,movimentos
1190,zieht,atrai
1191,geburtstag,aniversário
1192,haut,Alto
1193,wette,aposta
1194,reich,rico
1195,sekunde,segundo
1196,fahre,andar de
1197,schwöre,jurar
1198,geredet,falou
1199,james,James
1200,madame,Sra
1201,eigene,ter
1202,zeiten,vezes
1203,traurig,Triste
1204,anruf,Chamar
1205,nachrichten,notícia
1206,frieden,Paz
1207,karte,mapa
1208,güte,qualidade
1209,euren,mais
1210,diesmal,desta vez
1211,schade,dano
1212,persönlich,pessoalmente
1213,kriege,guerras
1214,stirbt,morre
1215,bleibe,ficar
1216,verändert,mudado
1217,sonne,sol
1218,lieb,querido
1219,nämlich,nomeadamente
1220,letztes,último
1221,bekam,pegou
1222,ruft,chamadas
1223,professor,professor
1224,gericht,prato
1225,nase,nariz
1226,ewig,para sempre
1227,singen,cantar
1228,bank,Banco
1229,beschäftigt,empregado
1230,computer,computador
1231,yeah,sim
1232,toten,mate
1233,weihnachten,Natal
1234,offensichtlich,obviamente
1235,naja,Nós vamos
1236,henry,henry
1237,gefühle,emoções
1238,fuß,pé
1239,show,mostrar
1240,überraschung,surpresa
1241,geheimnis,segredo
1242,fbi,fbi
1243,kontakt,contato
1244,gold,ouro
1245,drogen,drogas
1246,regierung,governo
1247,wein,Vinho
1248,kriegst,obter
1249,ermordet,assassinado
1250,fotos,Fotos
1251,entfernt,um jeito
1252,geschlafen,dormisse
1253,manche,alguns
1254,erledigen,cuide de
1255,ran,correu
1256,gegenüber,em frente de
1257,schlaf,dorme
1258,lust,luxúria
1259,wunderschön,bonito
1260,witzig,engraçado
1261,nick,usuario
1262,zerstört,destruído
1263,übrigens,a propósito
1264,willen,quer
1265,heim,casa
1266,richtigen,direita
1267,deines,Sua
1268,namens,chamado
1269,zeigt,mostra
1270,geliebt,amavam
1271,gehören,pertencer
1272,brachte,trouxeram
1273,herrn,Senhor
1274,blick,visualizar
1275,besuch,Visita
1276,schlechte,mau
1277,bewegen,jogada
1278,haare,cabelo
1279,antworten,responder
1280,präsident,Presidente
1281,sagtest,contou
1282,hoffnung,ter esperança
1283,stecken,grudar
1284,lebe,ao vivo
1285,rechts,direita
1286,interessant,interessante
1287,entscheiden,decidir
1288,miteinander,juntos
1289,meint,meios
1290,liebst,amar
1291,indem,fazendo
1292,bleibst,ficar
1293,kümmere,cuidar
1294,wohnen,ao vivo
1295,weder,nenhum
1296,möglichkeit,possibilidade
1297,kaputt,quebrado
1298,bekomme,obter
1299,flugzeug,plano
1300,vergangenheit,passado
1301,anderer,outro
1302,zweite,segundo
1303,armee,Exército
1304,jim,jim
1305,tee,tee
1306,entweder,ou
1307,weiss,Branco
1308,don,vestir
1309,detective,detetive
1310,aufhalten,Pare
1311,stellt,fornece
1312,verspreche,promessa
1313,überrascht,surpreso
1314,sauber,limpar
1315,hau,esta
1316,mark,marca
1317,schlag,soprar
1318,sheriff,xerife
1319,untertitel,legenda
1320,setzt,puts
1321,frag,pergunta
1322,vaters,pai
1323,nervös,nervoso
1324,gesellschaft,sociedade
1325,verstecken,ocultar
1326,schuldig,culpado
1327,hals,pescoço
1328,schützen,proteger
1329,besuchen,Visita
1330,of,de
1331,passen,to-suit
1332,überleben,para sobreviver
1333,erhalten,receber
1334,teilen,dividir
1335,gebäude,prédio
1336,schicksal,destino
1337,zeichen,personagem
1338,richter,juiz
1339,besorgt,preocupado
1340,küche,cozinha
1341,lief,correu
1342,vergnügen,prazer
1343,wüsste,conhecer
1344,volk,pessoas
1345,lhr,LHR
1346,herausfinden,descobrir
1347,königin,rainha
1348,soldaten,soldados
1349,feiern,celebrar
1350,situation,situação
1351,lag,lei
1352,gelassen,calmamente
1353,allerdings,De fato
1354,soweit,até aqui
1355,gefahren,perigos
1356,verstand,entendimento
1357,bord,Beira
1358,schönes,bonito
1359,jimmy,jimmy
1360,billy,cassetete
1361,angefangen,começado
1362,lee,sotavento
1363,fühlst,sentir
1364,bob,prumo
1365,mussten,tive
1366,rat,ratazana
1367,worauf,portanto
1368,gebeten,Perguntou
1369,tony,tony
1370,kamera,Câmera
1371,achtung,Perigo
1372,lieutenant,tenente
1373,ganzes,inteira
1374,schuhe,Sapato
1375,sarah,sarah
1376,glückwunsch,congratulação
1377,niemandem,ninguém
1378,gibst,dar
