Alemão,de-pt,Polonês,pl-pt
reden,conversar,dlatego,Porque
wohl,Nós vamos,pewnie,certamente
liebe,amar,powiedz,contar
sollte,deve,aby,para
sagte,disse,wtedy,então
unsere,nosso,wygląda,visual
jemand,alguém,jeden,1
geld,dinheiro,mojego,minha
durch,de,im,eles
ob,E se,mówi,diz
keinen,não,dziś,hoje
mutter,mãe,taki,tal
raus,Fora,mieć,ter
gemacht,fez,jako,como
paar,par,dwa,dois
mach,mach,potem,mais tarde
passiert,acontece,wie,conhecer
dachte,pensamento,takie,tal
besser,Melhor,nią,isto
musst,deve,wszystkie,todo
wieso,como assim,znaczy,meios
sir,Senhor,rozumiem,Compreendo
dieses,esta,dzieje,história
selbst,auto,moją,minha
gehört,pertence,będziemy,vamos
möchte,gostaria de,wiele,vários
ohne,sem,stąd,conseqüentemente
hör,ouvir,oni,elas
her,aqui,mojej,minha
sag,dizer,miejsce,"Lugar, colocar"
meiner,minha,iść,vai
anderen,outro,kilka,um pouco
helfen,ajuda,pomóc,ajuda
nacht,noite,dużo,Muito de
finden,Achar,ile,quantos
diesen,esta,jasne,Certo
gute,qualidade,byłem,Eu fui
wirst,vontade,swoje,seu
lange,Longo,myśli,pensamentos
natürlich,Naturalmente,cały,todo
ach,Oh,skąd,de onde
meinem,minha,wiedzieć,conhecer
gar,de forma alguma,dzieci,crianças
ins,no,nich,eles
sei,estar,która,que
dort,Lá,wam,vocês
weiter,Prosseguir,przykro,Desculpe
geben,dar,można,um pode
seit,Desde a,jakieś,alguns
gleich,igual,tę,esses
sagt,diz,wszystkich,todo
recht,Lei,nad,acima
ihren,deles,jakiś,alguns
richtig,direita,sposób,maneira
ordnung,ordem,trzeba,um must
vom,a partir de,mają,eles têm
hören,Ouço,niej,isto
sieht,visual,pracy,trabalhando
davon,a partir desse,kogoś,alguém
dafür,por esta,tyle,muito
geh,vai,robić,Faz
diesem,esta,bardziej,mais
wegen,por causa de,mówisz,você diz
hause,casa,zanim,antes
sollten,deve,zbyt,também
mädchen,garota,szybko,velozes
hin,baixa,dzisiaj,hoje
sollen,deve,tobie,vocês
abend,véspera,takiego,tal
haus,casa,świetnie,Excelente
denke,acho,zobaczyć,Vejo
viele,grande quantidade,zaraz,em breve
drei,três,pewno,certamente
deinen,seu,miałem,eu tinha
freund,amigo,kocham,amar
guten,Boa,mówię,eu digo
unser,nosso,nadal,ainda
warte,esperar,jaki,o que
machst,fazendo,rację,direita
menschen,Pessoas,kochanie,amor
essen,comer,myślałem,eu pensei
angst,temer,trzy,três
bleiben,ficar,ojciec,pai
zusammen,juntos,ani,ou
welt,mundo,robi,faz
unter,sob,stanie,capaz
habt,ter,tą,esta
schnell,velozes,później,mais tarde
andere,outro,ponieważ,Porque
tot,morto,idź,vai
getan,feito,życia,vida
darf,maio,twoim,seu
erst,primeiro,przestań,vamos
rein,puramente,sie,agosto
stimmt,Direita,swoją,seu
nehmen,pegar,chciałem,Eu queria
kinder,crianças,długo,longo
eines,1,mamo,Mamãe
glauben,acreditam,kiedyś,uma vez
bringen,trazer,cholera,cólera
ganze,inteira,wciąż,ainda
genug,o suficiente,nadzieję,ter esperança
scheiße,porcaria,aż,até
brauchen,necessidade,będą,vontade
gegen,contra,jutro,amanhã
moment,momento,każdy,cada
junge,Garoto,dni,dias
steht,fica,problem,problema
sonst,de outra forma,widzę,Entendo
musik,música,mógł,poderia
arbeit,trabalho,stary,velho
seid,estamos,taka,a
ihrer,deles,żebyś,vocês
fragen,perguntar,widzisz,você vê
herr,Senhor,twojej,seu
dabei,lá,tato,Pai
heißt,chamado,potrzebuję,necessidade
familie,família,znowu,de novo
warten,espera,kurwa,prostituta
niemand,ninguém,dziecko,criança
sofort,imediatamente,nocy,noite
bevor,antes,znaleźć,encontrado
jahre,anos,sama,ela própria
einmal,uma vez,dokładnie,exatamente
problem,problema,dnia,dia
sohn,filho,oh,Oh
wann,quando,pierwszy,primeiro
brauche,necessidade,czuję,eu sinto
fertig,finalizado,pieniądze,dinheiro
halt,Pare,powiem,eu digo
allein,sozinho,zrobił,Faz
beim,no,nami,nós
sprechen,falar,miała,ela teve
beide,Ambas,twoją,seu
gefunden,encontrado,gdyby,E se
hatten,tive,nasz,nosso
sache,Coisa,nasze,nosso
hilfe,Ajuda,razie,evento
verdammt,condenado,samo,em si
ne,ne,były,antigo
jeder,todo o mundo,dobre,Boa
warst,estavam,słuchaj,ouço
gern,alegremente,koniec,fim
konnte,poderia,chciał,ele queria
darüber,sobre isso,widziałem,Eu tenho visto
halten,segurar,jakie,o que
siehst,Vejo,wszystkim,todo
verstehe,Compreendo,znam,eu sei
jahren,anos,wcześniej,antes
kam,veio,spokój,calma
kind,criança,chwilę,momentos
wusste,sabia,mama,mamãe
wahr,verdade,sobą,juntos
seinen,seu,zostać,ficar
dazu,para,został,deixou
bruder,irmãos,wy,vocês
daran,isto,czegoś,algo
ihrem,deles,żyje,vidas
denken,acho,mówić,falar
könnten,poderia,bym,eu
dank,obrigado,którzy,quem
würden,seria,porozmawiać,conversar
lieber,querido,spójrz,olhar
fall,caso,roku,ano
deiner,Sua,mogą,posso
sehe,Vejo,chciałbym,eu gostaria
egal,não importa,zabić,mate
kennen,conhecer,poza,pose
deinem,seu,dom,casa
vergessen,esquecer,we,no
frage,pergunta,imię,nome
mache,faço,twojego,seu
komme,obter,lub,ou
sage,lenda,och,Oh
mag,gostar,miło,legais
sieh,olhar,którą,que
echt,real,kogo,a quem
gib,dar,sir,Senhor
eigentlich,na realidade,minut,minutos
jeden,cada,jakby,gostar
dad,Papai,prawie,quase
gab,deram,drzwi,porta
uhr,Relógio,byłam,Eu fui
stadt,cidade,jesteście,tu es
männer,Homens,posłuchaj,ouço
baby,infantil,powiedziałem,eu disse
fahren,dirigir,powodu,razão
namen,nomes,powinniśmy,deve
bekommen,para obter,gdzieś,em algum lugar
kopf,cabeça,końcu,o fim
hi,Oi,lubię,Eu gosto
gehe,vai,mów,contar
kleine,pequena,sprawy,romances
später,mais tarde,czekaj,esperar
glück,felicidade,pomysł,ideia
letzte,Mais recentes,zrobię,Eu irei
freunde,amigos,wiemy,nós sabemos
n,n,wydaje,parece
all,Alles,byłeś,Você era
darauf,nisso,razy,vezes
ende,O fim,moich,minha
dr.,dr.,człowiek,cara
bald,em breve,jednak,mas
töten,mate,innego,outro
dinge,as coisas,dość,o suficiente
meinst,significar,pomocy,ajuda
toll,Excelente,przecież,ainda
eins,1,panu,Senhor.
minuten,minutos,broń,arma
vielen,um monte de,żadnych,nenhum
bereit,pronto,noc,noite
weit,longe,macie,você tem
ahnung,ideia,ciągle,Ainda
seiner,seu,c,c
bisschen,pouco,żebym,mim
tür,porta,źle,errado
auto,automóvel,powiedziała,ela disse
jungs,caras,facet,cara
eure,seu,mówiłem,eu disse
augen,olhos,którego,de quem
polizei,polícia,podoba,gostar
stehen,ficar,miejscu,"Lugar, colocar"
sterben,morrer,jeżeli,E se
hätten,tive,skoro,Desde a
draußen,fora,ego,eu
kenne,conhecer,ojca,pai
fast,aproximadamente,powinieneś,deve
runter,baixa,lata,correção
vorbei,passado,sprawa,caso
treffen,encontrar,niczego,nenhuma coisa
gerne,com prazer,takim,tal
dran,sintonizado,pamiętasz,Você se lembra
wurden,estavam,sądzę,eu acho que
arbeiten,trabalhar,właściwie,apropriadamente
mom,mamãe,dwie,dois
verrückt,louco,pokoju,quarto
neue,novo,którym,que
ging,foi,myślałam,eu estava pensando
hinter,Atras do,jedno,1
sorgen,importar-se,idziemy,vai
einzige,apenas um,również,Além disso
jemanden,alguém,bądź,estar
darum,Portanto,znasz,você sabe
tochter,filha,swój,seu
braucht,necessidade,swojego,seu
idee,ideia,byś,vocês
schwester,irmã,chodźmy,Vamos lá
drin,iniciar,nowy,novo
ruhig,calma,chciałam,eu queria
sah,Serra,pewien,uma
ganzen,todo,wczoraj,ontem
spät,atrasado,jedną,1
ziemlich,bastante,musiał,Ele tinha
solltest,deve,której,que
name,Sobrenome,idę,Vou
sogar,até,poważnie,a sério
kurz,baixo,swoim,seu
kerl,Cara,życiu,vida
frauen,mulheres,rozumiesz,Compreendo
liegt,mentiras,których,que
suchen,procurar,podczas,no decorrer
finde,achar,miałam,eu tinha
je,sempre,oczy,olhos
woher,de onde,rano,manhã
lang,longo,sprawę,caso
job,trabalho,wystarczy,só precisa de
keiner,Nenhum,spokojnie,calmamente
seinem,seu,całą,inteira
hört,ouve,telefon,Telefone
verstehen,Compreendo,rzecz,item
spielen,Toque,matka,mãe
s.,s.,samochód,carro
überhaupt,de forma alguma,świat,mundo
teufel,diabo,nimi,eles
verstanden,entendido,dwóch,dois
verloren,perdido,pracę,trabalhando
große,Tamanho,dać,dar
hand,mão,byli,visitantes
grund,razão,powinienem,Eu deveria
jahr,ano,weź,levar
kommst,chegando,jedna,1
mama,mamãe,zamknij,fechar
ruhe,Quieto,the,a
gewesen,fui,mały,pequena
tod,morte,da,da
stunden,horas,pozwól,Deixe o
hoffe,ter esperança,całe,todo
denkst,acho,wina,falta
oben,acima,wiedziałem,eu sabia
gestern,ontem,wrócić,volte
versuchen,tentar,między,entre
art,Gentil,chcą,eles querem
letzten,último,idzie,vai
schatz,Tesouro,śmierci,morrendo
endlich,Finalmente,mówił,ele disse
he,ei,numer,número
nimm,levar,oto,aqui
etwa,aproximadamente,miejsca,"Lugar, colocar"
erzählt,diz,dopóki,enquanto
läuft,correndo,czujesz,você sente
schwer,pesado,cokolwiek,nada
anders,diferente,swojej,seu
miss,doente,nikogo,qualquer um
musste,tive,dam,eu darei
fünf,cinco,powiedziałeś,você diz
wasser,agua,tłumaczenie,tradução
lässt,folhas,dziewczyna,garota
erste,primeiro,najpierw,primeiro
versucht,tentativas,pamiętam,Eu lembro
gekommen,veio,powiesz,contar
geschichte,história,pytanie,pergunta
wenig,pouco,inaczej,de outra forma
holen,buscar,świecie,mundo
bedeutet,meios,znów,de novo
nett,Gentil,wyglądasz,olhar
wahrheit,verdade,przynajmniej,pelo menos
woche,semana,widzieć,Vejo
bringt,traz,prawdę,verdade
deshalb,Portanto,zrobiłem,eu fiz
welche,Que,śmierć,morte
bestimmt,certamente,swoich,deles
hoch,Alto,halo,Olá
alter,Idade,gdybym,eu
sagst,dizer,jednego,1
schau,mostrar,pieniędzy,dinheiro
ah,ah,brzmi,lê
land,país,wierzę,eu acredito
zimmer,quarto,innych,outro
wagen,ousar,trzymaj,segurar
vier,quatro,robię,estou fazendo
gefallen,gostar,ogóle,todo
spaß,Diversão,super,legal
niemals,De jeito nenhum,kobiety,mulheres
schuld,falta,potrzebuje,necessidade
getötet,assassinado,tata,Papai
wollten,queria,pójdę,Eu vou
verlassen,sair,wielu,vários
zeigen,demonstrar,dokąd,Onde
beste,melhor,ręce,mãos
ernst,sério,zrobiłeś,você tem feito
unserer,nosso,miłość,amar
denen,para aqueles,całkiem,bastante
ort,"Lugar, colocar",naszej,nosso
bleibt,permanece,nasza,nosso
würdest,seria,możliwe,possível
manchmal,as vezes,gra,jogos
glaubst,acho,prawo,direita
seite,página,inne,outro
lasst,folhas,każdym,cada
zwischen,entre,chwili,Tempo
eben,apenas,kobieta,mulher
während,enquanto,jednym,1
spiel,jogos,zrób,faço
nehme,levar,ważne,importante
ersten,primeiro,wybacz,perdoar
guter,bens,żona,esposa
chance,chance,chcemy,nós queremos
freundin,Namorada,działa,funciona
krieg,guerra,byłoby,seria
gefällt,gostar,także,Além disso
kleinen,pequena,słyszałem,Eu ouvi
erzählen,contar,wiedział,ele sabia
anderes,outro,dziewczyny,Garotas
tage,dias,drogi,caro
entschuldigen,desculpar-se,pewna,uma
wichtig,importante,wiecie,você sabe
gehst,indo,mówią,eles dizem
allen,todo,cieszę,Eu estou feliz
bett,cama,dopiero,só
mrs.,Sra.,poznać,Conheçer
sachen,coisa,serce,coração
the,a,inny,diferente
schlecht,mau,witam,Olá
schule,escola,pojęcia,conceitos
entschuldigung,Com licença,parę,um casal
wort,palavra,przeciwko,contra
john,John,udało,sucedeu
hättest,tive,powinien,deve
wären,seria,została,ela ficou
typ,Modelo,naszym,nosso
schlafen,dorme,raczej,em vez
äh,hum,wiadomość,mensagem
tu,tu,pięć,assar
euer,seu,s,s
captain,capitão,każdego,cada
gesicht,cara,godziny,horas
falls,E se,plan,plano
neuen,novo,wcale,de forma alguma
bloß,apenas,ciało,corpo
unten,abaixo de,słowa,palavras
teil,papel,witaj,Olá
beiden,Ambas,naszego,nosso
mensch,humano,mogła,poderia
kleiner,menor,czasie,Tempo
stellen,por,dostać,obter
oft,muitas vezes,nowego,novo
sorge,preocupação,czymś,algo
gedacht,pensamento,stać,estar
tust,Faz,oznacza,meios
trinken,bebida,jaką,o que
einige,alguns,naszych,nosso
dies,esta,patrz,Olhar
ding,coisa,czyli,ou
unseren,nosso,twoich,seu
kriegen,Obtivermos,człowieka,humano
blut,sangue,czasem,as vezes
ehrlich,honesto,dziwne,estranhas
eltern,pais,żyć,ao vivo
scheint,parece,zostaw,sair
herz,coração,zabrać,levar
jack,Jack,żadnego,nenhum
glücklich,feliz,cholery,inferno
alte,velho,ostatnio,recentemente
alt,velho,rodziny,famílias
bleib,permanente,ciężko,Difícil
wiedersehen,encontrar de novo,martw,preocupação
frei,gratuitamente,miałeś,vocês
wen,a quem,rozmawiać,falar
drauf,isto,rób,Faz
möglich,possível,ziemi,terra
irgendwie,de alguma forma,nazywa,chamado
reicht,o suficiente,panowie,cavalheiros
fest,firmemente,bóg,Deus
besten,melhor,widziałam,eu vi
waffe,arma,szczęście,felicidade
kaum,por muito pouco,syn,filho
irgendwas,nada,takich,tal
klingt,sons,sprawie,caso
platz,"Lugar, colocar",zabił,assassinado
brauchst,necessidade,powrotem,voltar
rede,Fala,możecie,você pode
papa,pai,godzin,horas
falsch,incorreto,potrzebujemy,Nós precisamos
sondern,em vez,diabła,inferno
alten,velho,panią,Sra.
nummer,número,powinnaś,deve
früher,mais cedo,ostatni,último
jungen,Rapazes,zrobimy,nós fazemos
wohin,Onde,mąż,esposo
außer,exceto,wyjść,saída
früh,cedo,krwi,sangue
setzen,por,szkoły,escola
zuerst,primeiro,nieźle,nada mal
wahrscheinlich,provavelmente,syna,filho
dürfen,permitido,natychmiast,imediatamente
jede,cada,słucham,ouço
arsch,bunda,mieliśmy,nós tínhamos
telefon,telefone,taką,a
tue,Faz,wszystkiego,tudo
kennst,conhecer,widziałeś,Está visto
willkommen,receber,serio,a sério
plan,plano,policja,Polícia
großen,imenso,chciała,Ele queria
retten,Salve ,zrobisz,Você faz
hierher,aqui,byliśmy,fomos
wär,seria,radę,conselho
bring,trazer,zgadza,concorda
fehler,erro,one,elas
wollt,quer,czasami,as vezes
dollar,dólar,końca,fim
zehn,dez,idziesz,Você vai
allem,todo,zostanie,será
pass,Passaporte,powinnam,Eu deveria
nächste,Próximo,byłaś,Você era
stunde,hora,mogłem,eu poderia
hände,mãos,drodze,maneira
gegeben,dado,mieli,Eles tinham
menge,quantidade,najbardziej,maioria
langsam,devagar,pomoc,ajuda
bereits,já,jaka,o que
wartet,espera,cztery,quatro
sechs,seis,john,John
lieben,amar,strony,página
meines,minha,część,Olá
büro,escritório,należy,pertence
nächsten,Próximo,jack,Jack
gebe,dar,kimś,alguém
wochen,semanas,głowy,cabeça
ruf,chamar,brat,irmão
schaffen,Criar,zobaczenia,vê você
leider,Infelizmente,blisko,perto
scheiß,merda,zaczekaj,Espere
hölle,inferno,powiedziałam,eu disse
trotzdem,no entanto,uwierzyć,acreditam
doktor,doutora,skarbie,mel
tja,tja,zły,mau
new,novo,naszą,nosso
voll,completo,wieczór,tarde
film,Filme,dolarów,dólares
überall,por toda parte,twarz,cara
hund,cão,zostało,estava
geworden,tornar-se,świata,mundo
direkt,diretamente,cała,inteira
wolltest,procurado,potrzebujesz,necessidade
tat,fez,środku,o meio
denkt,pensa,pokój,quarto
schiff,enviar,innym,outro
neues,novo,obchodzi,comemora
wem,a quem,spotkanie,Conheçer
könig,Rei,chcecie,você quer
danach,depois disso,gotowy,pronto
funktioniert,está funcionando,doktorze,Doutora
hattest,tive,temat,tópico
lernen,aprender,wielki,ampla
deswegen,Portanto,uważaj,tome cuidado
wow,Uau,daleko,longe
nennen,chamar,pół,metade
hm,Hm,ode,a partir de
feuer,Fogo,uda,coxas
laufen,para correr,dr,Dr.
alleine,sozinho,chociaż,Apesar
erinnern,lembrar,kiedykolwiek,sempre
völlig,completamente,rok,ano
kleines,pequena,lecz,mas
könnt,posso,miasta,cidades
stelle,Trabalho,d,d
kumpel,Parceiro,poczekaj,aguentar
verlieren,perder,robota,trabalho
probleme,problemas,racja,direita
spricht,fala,człowiekiem,humano
kaffee,café,wieczorem,à noite
luft,ar,zależy,depende
fand,encontrado,dobranoc,Boa noite
i,eu,późno,atrasado
entschuldige,Com licença,chciałabym,Eu gostaria de
ziehen,puxar,mógłbym,eu poderia
verschwinden,desaparecer,krew,sangue
könntest,poderia,gdybyś,se vocês
seht,olhar,wziąć,levar
aufhören,Pare,lubi,gostos
eigenen,ter,słowo,palavra
richtige,o certo,powinno,deve
unserem,nosso,zewnątrz,fora
suche,procurar,nowe,novo
zwar,Apesar,rodzina,família
groß,ampla,wspaniale,excelente
hol,hol,mówiąc,Falando
buch,livro,stronie,local na rede Internet
krank,doente,miesięcy,meses
fühle,sentir,głowę,cabeça
jedes,cada,robimy,nós fazemos
verstehst,Compreendo,znalazłem,eu encontrei
wert,valor,lubisz,você gosta
arzt,doutora,mniej,menos
froh,Alegre,wrócę,Retorna
versuche,tentativas,wejść,entrada
straße,rua,wypadek,acidente
rufen,chamar,pierwsze,primeiro
heiraten,casar,szybciej,mais rápido
super,excelente,tydzień,semana
sam,sam,chłopaki,Rapazes
lebt,vidas,nieważne,não importa
gutes,Boa,pójść,vai
lasse,sair,praca,trabalho
onkel,tio,czeka,espera
total,total,zobaczymy,Vejo
gebracht,trouxeram,taa,taa
party,Festa,szansę,chances
erklären,explicar,wiedziałam,eu sabia
spielt,tocam,widział,visto
wahl,escolha,wody,agua
vertrauen,Confiar em,dawaj,dar
damals,naquela época,zna,conhecer
tagen,Conheçer,mała,pequena
leicht,claro,jezu,Jezu
nachdem,depois disto,zrobi,Faz
gegangen,foi,pracować,trabalhar
gefühl,sentindo-me,moi,minha
kaufen,comprar,serca,corações
geschafft,fez,jakoś,de alguma forma
typen,tipos,złe,errado
interessiert,Interessado,chwila,momento
möchten,quer,prawa,direitos
halte,acho,sądzisz,Você acha que
hält,mantém,według,de acordo com
glaub,acho,spotkać,Conheçer
irgendwo,em algum lugar,kapitanie,Capitão
stück,peça,zupełnie,bastante
genauso,bem desse jeito,sprawdzić,Verifica
kennt,sabe,mogli,poderia
genommen,tomou,ojcem,pai
zukunft,futuro,you,vocês
weniger,Menos,boga,Deus
cool,legal,okej,Certo
licht,claro,wspólnego,comum
getroffen,conheceu,mówiłeś,você disse
himmel,céu,mieście,cidade
nachricht,mensagem,robią,Faz
drüben,bem ali,chłopak,Garoto
passt,ajuste,jechać,dirigir
sagten,disse,prawdopodobnie,provavelmente
kümmern,Para cuidar de,doktor,doutora
laut,de acordo com,spać,dorme
vergiss,esquecer,pracuje,trabalhando
angerufen,chamado,zdjęcia,fotos
sitzen,sentar,wasza,Sua
daß,que,uwagę,atenção
erde,terra,myśleć,acho
großer,maior,mówiłam,eu disse
schlüssel,chave,znać,conhecer
rest,resto,t,t
passieren,acontecer,ciała,o corpo
eher,em vez,mógłbyś,poderia
gefragt,Perguntou,problemy,questões
gefängnis,cadeia,okay,Certo
opfer,Vítima,film,filme
körper,corpo,gotowa,pronto
solche,tal,tymi,esses
mist,droga,zdjęcie,foto
mr,senhor,pogadać,conversar
findet,achados,brak,falta
schreiben,Escreva,powiedziałaś,você diz
böse,mal,wiedzą,conhecimento
gesprochen,falada,dał,deram
versuch,tentar,małe,pequena
vorstellen,para apresentar,pomoże,ajuda
wovon,Sobre o que,ponad,mais que
sobald,assim que,mało,pouco
nochmal,outra vez,kilku,vários
herren,masculino,koleś,parceiro
sex,sexo,wkrótce,em breve
waffen,armas,rękę,mão
wohnung,plano,razu,imediatamente
weh,dorido,mógłby,poderia
heißen,ser chamado,ostatnie,último
krankenhaus,hospital,miasto,cidade
bringe,trazer,zrobiła,ela fez
höre,ouvir,przyjaciół,amigos
millionen,milhões,stronę,página
klasse,aula,góry,montanhas
hart,Difícil,nazwisko,nome
worden,fui,wami,vocês
sinn,senso,pa,pa
außerdem,Além disso,całym,Todo
verletzt,ferido,drogę,maneira
ändern,mudar,wystarczająco,o suficiente
erfahren,Com experiência,zatrzymać,Pare
tragen,carregar,droga,maneira
wenigstens,pelo menos,niemożliwe,impossível
vorsichtig,cuidadosamente,jakąś,alguns
daddy,Papai,mike,Mike
stolz,orgulhoso,odejść,sair
stark,fortemente,broni,arma
fällt,quedas,zmienić,mudança
möchtest,quer,wszędzie,em toda parte
leuten,pessoas,prosto,direto
besonders,especialmente,rodzice,pais
schöne,encantador,początku,cedo
schicken,enviar,policji,polícia
person,pessoa,nagle,De repente
schätze,fortuna,drugi,segundo
solange,enquanto,brata,irmão
länger,mais tempo,przyjaciel,amigo
großartig,Excelente,wielkie,excelente
lacht,risos,człowieku,Cara
anrufen,chamar,choć,Apesar
stand,estava em pé,samego,o mesmo
redest,falando sobre,muszą,deve
fühlen,sentir,często,muitas vezes
erwartet,esperado,dziecka,criança
boden,terra,pomóż,ajuda
boss,patrão,dobrym,Boa
stimme,voz,kłopoty,problemas
glaubt,acredita,nazywam,Meu nome é
still,quieto,większość,maioria
sicherheit,segurança,zacząć,começar
setz,traduzidos,roboty,robôs
ma,mamãe,zaczyna,começa
mund,boca,żaden,não
kämpfen,lutar,pozwolić,deixei
wisst,conhecer,matki,mãe
lachen,riso,miłości,amar
hörst,ouvir,trudno,difícil
zeug,coisa,błąd,erro
lustig,engraçado,drugiej,segundo
umbringen,mate,głowie,cabeça
sollst,Obediente,dziewczynę,garota
hasse,odiar,pokaż,mostrar
schlimm,mau,córka,filha
o,O,godzinę,hora
unglaublich,incrível,michael,Michael
wärst,'d,żadnej,nenhum
laden,carregar,jedynie,só
führen,liderar,szkole,Escola
gestorben,morreu,pierwsza,primeiro
schauen,Assistir,musiałem,Eu precisei
meinung,opinião,wracaj,volte
lesen,leitura,szkoda,detrimento
mörder,assassino,george,george
frank,franco,siostra,irmã
ähm,hum,zapomnij,esquecer
geschehen,feito,pomyślałem,eu pensei
geschäft,o negócio,słyszysz,ouvir
idiot,idiota,ponownie,de novo
verzeihung,perdão,przyszedł,veio
fliegen,voar,całkowicie,totalmente
